name,region,era,blade_shape,edge_type,primary_use,description
"Katana","Japan","17th-19th c.","Curved","Single","Samurai combat/Slashing","Iconic single-edged curved sword used by samurai."
"Tachi","Japan","900-1500s","Curved","Single","Cavalry Slashing","Predecessor to the katana."
"Chokuto","Japan","Ancient","Straight","Single","Piercing/Slashing","Early Japanese straight sword with a single edge."
"Tsurugi","Japan","Ancient","Straight","Double","Ritual/Warfare","Double-edged straight sword from ancient Japan."
"Wakizashi","Japan","16th-19th c.","Curved","Single","Indoor defense/Companion","Shorter companion sword to the katana."
"Tanto","Japan","Various","Short","Single","Stabbing/Self-defense","Japanese dagger or short sword designed primarily for stabbing and close-range defense."
"Odachi","Japan","13th-14th c.","Extra Long Curved","Single","Anti-cavalry/Battlefield","Massive Japanese greatsword used by infantry to tackle cavalry on the battlefield."
"Gladius","Europe (Rome)","3rd c. BCE-1st c. CE","Straight","Double","Infantry thrusting","Standard infantry sword of the Roman legions."
"Xiphos","Europe (Greece)","Iron Age","Leaf shaped","Double","Close combat","Double-edged."
"Longsword","Europe","14th-16th c.","Straight","Double","Two-handed combat","Versatile two-handed sword with a cruciform hilt."
"Rapier","Europe","16th-17th c.","Straight/Narrow","Double/Pointed","Dueling/Thrusting","Slender."
"Claymore","Europe (Scotland)","15th-17th c.","Straight","Double","Highland warfare","Large two-handed greatsword used by Scottish highlanders for powerful sweeping attacks."
"Cutlass","Europe (Naval)","17th-19th c.","Curved","Single","Naval boarding","Short."
"Viking Sword","Europe (Viking)","8th-11th c.","Straight","Double","Cut-and-thrust","Evolution of the Roman spatha."
"Falchion","Europe","13th-16th c.","Curved","Single","Heavy chopping","Single-edged sword with a weighted tip."
"Bastard Sword","Europe","15th-16th c.","Straight","Double","Versatile/Hand-and-a-half","Also known as a hand-and-a-half sword."
"Zweihänder","Europe (German)","16th c.","Straight","Double","Area denial/Greatsword","Enormous two-handed sword used by Landsknechte to break pike formations."
"Smallsword","Europe","18th c.","Straight/Triangular","Edgeless","Civilian dress/Dueling","Lightweight civilian sidearm with a triangular blade."
"Jian","China","Ancient","Straight","Double","Finesse/Martial arts","Elegant double-edged straight sword."
"Dao","China","Ming-Qing","Curved","Single","Slashing/Cutting","Single-edged Chinese saber used for slashing and chopping."
"Liuyedao","China","Ming-Qing","Curved","Single","Cavalry/Infantry saber","Willow leaf saber used by both cavalry and infantry during the Ming and Qing dynasties."
"Zhanmadao","China","Song-Yuan","Straight/Long","Single","Anti-cavalry","Horse-chopping saber with a long blade and handle."
"Dadao","China","19th-20th c.","Broad Curved","Single","Execution/Warfare","Heavy."
"Shamshir","Middle East","16th-19th c.","Deeply Curved","Single","Mounted slashing","Lion's tail saber with a radical curve."
"Kilij","Middle East","15th-19th c.","Curved","Single","Ottoman cavalry saber","Distinctive Ottoman saber with a flared tip (yalman) for increased chopping power."
"Scimitar","Middle East","9th c. CE+","Curved","Single","Cavalry combat","General term for curved Middle Eastern sabers."
"Yatagan","Middle East","16th-19th c.","Forward-Curved","Single","Infantry sword/Dagger","Recurved blade without a guard."
"Talwar","India","16th-19th c.","Curved","Single","Draw-cut slashing","Iconic Indian saber with a disc pommel."
"Khanda","India","Ancient/Medieval","Straight","Double","Heavy cutting","Heavy."
"Pata","India","17th-18th c.","Straight","Double","Gauntlet sword/Thrusting","Unique weapon where the blade is integrated into a protective steel gauntlet."
"Kris","SE Asia (Indonesia)","Various","Wavy/Straight","Double","Ceremonial/Ritual","Asymmetrical dagger with a distinctive wavy blade."
"Kampilan","SE Asia (Philippines)","Various","Heavy Tapered","Single","Warfare/Slashing","Large single-edged sword with a dual-horned pommel."
"Dha","SE Asia (Burma)","Various","Slightly Curved","Single","General utility/Combat","Versatile single-edged sword used for both daily utility and warfare across Mainland Southeast Asia."
"Khopesh","Africa (Egypt)","Bronze Age","Sickle-like","Single","Ritual/Warfare","Ancient Egyptian sickle-sword developed from battle-axes."
"Kaskara","Africa (Sudan)","19th c.","Straight","Double","Desert warfare","Straight."
"Shotel","Africa (Sudan)","Various","Deeply Curved","Double","Hooking around shields","S-shaped sword with a radical curve designed to reach around an opponent's shield."
"Macuahuitl","Americas (Aztec)","Pre-Columbian","Flat Wood w/ Obsidian","Multiple Edg...","Heavy clubbing/Slashing","Wooden club embedded with sharp obsidian blades."
